tick,simulation_time_s,w_pressed,a_pressed,d_pressed,shift_pressed,r_pressed,throttle,steer,brake,speed_mps,speed_kmh,speed_mph,heading_rad,heading_deg,location_x,location_y,location_z
1,0.050,0,0,0,0,1,0.000,0.0000,0.000,0.010,0.035,0.022,1.919859,110.000,-283.800,391.700,0.003
2,0.100,0,0,0,0,0,0.000,0.0000,0.000,0.084,0.303,0.188,1.919859,110.000,-283.800,391.700,0.000
3,0.150,0,0,0,0,0,0.000,0.0000,0.000,0.033,0.120,0.075,1.919859,110.000,-283.800,391.700,0.003
4,0.200,0,0,0,0,0,0.000,0.0000,0.000,0.009,0.032,0.020,1.919859,110.000,-283.800,391.700,0.004
5,0.250,0,0,0,0,0,0.000,0.0000,0.000,0.002,0.007,0.004,1.919859,110.000,-283.800,391.700,0.004
6,0.300,0,0,0,0,0,0.000,0.0000,0.000,0.006,0.021,0.013,1.919859,110.000,-283.800,391.700,0.003
7,0.350,0,0,0,0,0,0.000,0.0000,0.000,0.007,0.024,0.015,1.919859,110.000,-283.800,391.700,0.003
8,0.400,0,0,0,0,0,0.000,0.0000,0.000,0.006,0.021,0.013,1.919859,110.000,-283.800,391.700,0.003
9,0.450,0,0,0,0,0,0.000,0.0000,0.000,0.005,0.017,0.011,1.919859,110.000,-283.800,391.700,0.003
10,0.500,0,0,0,0,0,0.000,0.0000,0.000,0.000,0.000,0.000,1.919859,110.000,-283.800,391.700,0.003
11,0.550,1,0,0,0,0,1.000,0.0000,0.000,0.000,0.000,0.000,1.919859,110.000,-283.800,391.700,0.003
12,0.600,1,0,0,0,0,1.000,0.0000,0.000,0.033,0.118,0.074,1.919859,110.000,-283.801,391.700,0.002
13,0.650,1,0,0,0,0,1.000,0.0000,0.000,0.034,0.124,0.077,1.919859,110.000,-283.801,391.701,0.002
14,0.700,1,0,0,0,0,1.000,0.0000,0.000,0.055,0.197,0.123,1.919859,110.000,-283.801,391.702,0.002
15,0.750,1,0,0,0,0,1.000,0.0000,0.000,0.129,0.464,0.288,1.919834,109.998,-283.803,391.706,0.002
16,0.800,1,0,0,0,0,1.000,0.0000,0.000,0.287,1.033,0.642,1.919702,109.991,-283.806,391.715,0.002
17,0.850,1,0,0,0,0,1.000,0.0000,0.000,0.447,1.609,1.000,1.919548,109.982,-283.813,391.733,0.002
18,0.900,1,0,0,0,0,1.000,0.0000,0.000,0.623,2.241,1.393,1.919330,109.970,-283.822,391.758,0.002
19,0.950,1,0,0,0,0,1.000,0.0000,0.000,0.790,2.845,1.768,1.919419,109.975,-283.834,391.792,0.002
20,1.000,1,0,0,0,0,1.000,0.0000,0.000,0.998,3.594,2.233,1.919445,109.976,-283.850,391.835,0.002
21,1.050,1,0,0,0,0,1.000,0.0000,0.000,1.205,4.339,2.696,1.919446,109.976,-283.869,391.888,0.002
22,1.100,1,0,0,0,0,1.000,0.0000,0.000,1.413,5.088,3.162,1.919446,109.976,-283.892,391.950,0.002
23,1.150,1,0,0,0,0,1.000,0.0000,0.000,1.624,5.846,3.633,1.919446,109.976,-283.918,392.022,0.002
24,1.200,1,0,0,0,0,1.000,0.0000,0.000,1.824,6.568,4.081,1.919446,109.976,-283.948,392.104,0.002
